Subject Name,Sample ID,Project,Nucleic acid,Species,Cell type,Photoperiod,Diet,zTime,Hours from lights off,ExT,Sex,cage number,Extraction protocol,"Extraction pool (A,B,C)",Library protocol,Library Pool,Sequencing Lane
21_4,0101_1,Seasonal Study,RNA,Mouse,Liver,LL,HFD,20,2,23,Male,21,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
5_1,0101_10,Seasonal Study,RNA,Mouse,Liver,SL,HFD,4,22,13,Male,5,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
5_4,0101_100,Seasonal Study,RNA,Mouse,Liver,SL,HFD,8,2,17,Male,5,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
22_3,0101_101,Seasonal Study,RNA,Mouse,Liver,LL,LFD,20,2,23,Male,22,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
19_4,0101_102,Seasonal Study,RNA,Mouse,Liver,LL,LFD,4,10,7,Male,19,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
18_5,0101_103,Seasonal Study,RNA,Mouse,Liver,EL,HFD,8,20,14,Male,18,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
12_2,0101_104,Seasonal Study,RNA,Mouse,Liver,EL,LFD,8,20,14,Male,12,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
7_5,0101_105,Seasonal Study,RNA,Mouse,Liver,LL,LFD,8,14,11,Male,7,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
11_2,0101_106,Seasonal Study,RNA,Mouse,Liver,SL,LFD,16,10,1,Male,11,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
10_4,0101_107,Seasonal Study,RNA,Mouse,Liver,EL,HFD,8,20,14,Male,10,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
11_5,0101_108,Seasonal Study,RNA,Mouse,Liver,SL,LFD,4,22,13,Male,11,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
13_3,0101_109,Seasonal Study,RNA,Mouse,Liver,EL,LFD,12,0,18,Male,13,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
13_5,0101_11,Seasonal Study,RNA,Mouse,Liver,EL,LFD,16,4,22,Male,13,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
9_4,0101_110,Seasonal Study,RNA,Mouse,Liver,LL,LFD,20,2,23,Male,9,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
11_3,0101_111,Seasonal Study,RNA,Mouse,Liver,SL,LFD,20,14,5,Male,11,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
7_3,0101_112,Seasonal Study,RNA,Mouse,Liver,LL,LFD,0,6,3,Male,7,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
8_3,0101_113,Seasonal Study,RNA,Mouse,Liver,LL,HFD,12,18,15,Male,8,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
22_2,0101_114,Seasonal Study,RNA,Mouse,Liver,LL,LFD,16,22,19,Male,22,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
22_1,0101_115,Seasonal Study,RNA,Mouse,Liver,LL,LFD,4,10,7,Male,22,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
20_5,0101_116,Seasonal Study,RNA,Mouse,Liver,SL,LFD,4,22,13,Male,20,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
19_3,0101_117,Seasonal Study,RNA,Mouse,Liver,LL,LFD,8,14,11,Male,19,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
14_1,0101_118,Seasonal Study,RNA,Mouse,Liver,EL,LFD,8,20,14,Male,14,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
15_3,0101_119,Seasonal Study,RNA,Mouse,Liver,SL,HFD,20,14,5,Male,15,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
4_5,0101_12,Seasonal Study,RNA,Mouse,Liver,SL,LFD,20,14,5,Male,4,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
1_1,0101_120,Seasonal Study,RNA,Mouse,Liver,LL,HFD,0,6,3,Male,1,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
6_1,0101_121,Seasonal Study,RNA,Mouse,Liver,EL,HFD,16,4,22,Male,6,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
20_3,0101_122,Seasonal Study,RNA,Mouse,Liver,SL,LFD,20,14,5,Male,20,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
24_6,0101_123,Seasonal Study,RNA,Mouse,Liver,SL,HFD,8,2,17,Male,24,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
19_5,0101_13,Seasonal Study,RNA,Mouse,Liver,LL,LFD,8,14,11,Male,19,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
24_2,0101_14,Seasonal Study,RNA,Mouse,Liver,SL,HFD,12,6,21,Male,24,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
7_2,0101_15,Seasonal Study,RNA,Mouse,Liver,LL,LFD,20,2,23,Male,7,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
15_2,0101_16,Seasonal Study,RNA,Mouse,Liver,SL,HFD,0,18,9,Male,15,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
2_1,0101_17,Seasonal Study,RNA,Mouse,Liver,EL,LFD,0,12,6,Male,2,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
